,property_type,address,postcode,thoroughfare,building_number,sub_building_name,bedrooms,uprn,latitude,longitude,area_code,district_code,number_habitable_rooms,last_transaction_price,last_transaction_date,sample_size,last_transaction_predicted_price,last_transaction_index,last_transaction_predicted_price_model_error,last_transaction_predicted_price_total_error,last_transaction_predicted_price_residual_percentage,0_months_average_price,0_months_predicted_price,0_months_predicted_price_model_error,0_months_predicted_price_total_error,0_months_predicted_price_residual_percentage,12_months_predicted_price,12_months_predicted_price_model_error,12_months_predicted_price_total_error,24_months_predicted_price,24_months_predicted_price_model_error,24_months_predicted_price_total_error
0,F,"Hulme High Street 40; Flat 33, M15 5JS",m155js,HULME HIGH STREET,40,APARTMENT 33,2,10070396197,53.4615616,-2.2484262,M,M15,3,145000,2018-10-12,26,134627.83,1.054,3893.15,12530.797,-0.072,137541.726,139202.747,4051.503,12580.895,0.012,141315.284,4382.801,12691.462,143427.5,6035.69,13352.67
1,F,"Hulme High Street 28; Flat 58, M15 5JS",m155js,HULME HIGH STREET,28,APARTMENT 58,2,10070868409,53.4620165,-2.2483986,M,M15,4,137500,2008-11-03,41,,0.96,,,,143282.911,143718.516,3344.938,16630.882,0.003,144943.137,3696.391,16705.117,146147.467,5505.683,17196.225
2,F,"Hulme High Street 28; Flat 60, M15 5JS",m155js,HULME HIGH STREET,28,APARTMENT 60,2,10070868411,53.4620165,-2.2483986,M,M15,3,130000,2016-09-23,41,126174.061,0.907,3351.071,16632.116,-0.029,143282.911,143718.516,3169.413,16596.469,0.003,144943.137,3492.965,16661.285,146147.467,5553.476,17211.587
3,F,"Hulme High Street 40; Flat 67, M15 5JS",m155js,HULME HIGH STREET,40,APARTMENT 67,2,10070868418,53.4615616,-2.2484262,M,M15,4,133000,2014-10-23,26,,0.967,,,,137541.726,139202.747,4171.11,12619.921,0.012,141315.284,4425.233,12706.177,143427.5,5925.621,13303.279
4,F,Tib Street; Transmission House 101,m41ae,TIB STREET,,FLAT 101,1,10094429469,53.4826547,-2.2370316,M,M4,,185250,2020-06-24,109,172329.375,1.002,4336.784,36080.345,-0.07,184883.335,175828.765,4145.13,36057.811,-0.049,174997.251,4428.84,36091.526,174183.747,5544.513,36245.348
5,F,Tib Street; Transmission House 102,m41ae,TIB STREET,,FLAT 102,2,10094429470,53.4826547,-2.2370316,M,M4,,257000,2020-09-14,156,260117.584,0.958,10405.494,72906,0.012,268137.996,270500.819,12504.008,73234.969,0.009,280985.618,12532.136,73239.777,291449.756,12339.358,73207.037
6,F,Tib Street; Transmission House 105,m41ae,TIB STREET,,FLAT 105,2,10094429473,53.4826547,-2.2370316,M,M4,,249562,2020-06-11,156,260799.663,0.931,12046.548,73158.252,0.045,268137.996,270500.819,12339.828,73207.116,0.009,280985.618,12294.205,73199.44,291449.756,12751.995,73277.717
7,F,Tib Street; Transmission House 106,m41ae,TIB STREET,,FLAT 106,2,10094429474,53.4826547,-2.2370316,M,M4,,280000,2020-07-31,156,270880.98,1.044,11939.23,73140.657,-0.033,268137.996,270500.819,11212.363,73025.527,0.009,280985.618,12152.111,73175.708,291449.756,12012.974,73152.731
8,F,Tib Street; Transmission House 108,m41ae,TIB STREET,,FLAT 108,2,10094429476,53.4826547,-2.2370316,M,M4,,250000,2020-09-24,156,260117.584,0.932,12157.659,73176.63,0.04,268137.996,270500.819,11734.686,73107.546,0.009,280985.618,10998.931,72993.061,291449.756,11648.049,73093.69
9,F,Tib Street; Transmission House 109,m41ae,TIB STREET,,FLAT 109,2,10094429477,53.4826547,-2.2370316,M,M4,,239400,2020-06-25,156,260799.663,0.893,11939.572,73140.713,0.089,268137.996,270500.819,11455.289,73063.22,0.009,280985.618,12517.685,73237.305,291449.756,12403.052,73217.799
